文献层级,文献信息,DOI,样本量及样本特征,暴露因素,影像方法,主要研究目的及相应的结果,其他测量/结局,comment
1-肺癌脑结构功能,Hu L 等 (2026). Curr Med Imaging,10.2174/0115734056415041251203091854,n=102例非小细胞肺癌（NSCLC）：53例未化疗CT(-)、49例化疗CT(+)、56名健康对照；中国南京。,化疗与否（CT+ vs CT- vs 健康对照）；摘要未涉及放疗或靶向分组,DTI-ALPS指数评估类淋巴功能；脉络丛（CP）体积；基于扩散张量成像；摘要未报告序列参数与层厚,目的：探讨化疗对NSCLC患者类淋巴系统的影响及其与认知结局的关联。结果：三组DTI-ALPS指数与CP体积差异显著；事后比较示CT(+)组ALPS指数低于CT(-)与对照、CP体积更大；ALPS与MoCA正相关、CP体积与MoCA负相关；ALPS部分中介CP体积与MoCA关系（中介比例约32.79%）。,MoCA,
1-肺癌脑结构功能,Xie X 等 (2023). Quant Imaging Med Surg,10.21037/qims-22-1376,n=35例肺癌伴脑转移（BM）连续前瞻入组（2020.6–2021.12），最终完成WBRT前后纵向分析n=19；中位随访约6月；单中心浙江；病理亚型摘要未区分NSCLC/SCLC。,全脑放疗（WBRT）治疗前后对比；摘要未报告同步化疗/靶向细节,DKI与T1加权MRI于WBRT前后采集；AAL图谱分区提取MD、FA、MK、AK等；以MMSE的RCI-PE定义显著认知下降；摘要未写明层厚与具体采集参数,目的：评估DKI参数检测WBRT后早期辐射诱导脑微结构改变及其与神经认知下降关联的潜力。结果：WBRT后2–6月RCI-PE显著下降；至少28个脑区至少一项扩散参数出现亚急性改变；9个脑区扩散参数变化与RCI-PE显著相关（如右眶部额下回AK、左中颞回MK等）。,MMSE（RCI-PE）,
1-肺癌脑结构功能,Hu L 等 (2025). Quant Imaging Med Surg,10.21037/qims-24-1321,n=43例NSCLC：20例化疗后CT(+)、23例化疗初治/未化疗CT(-)；中国南京；同期完成影像与神经认知评估。,化疗（CT+ vs CT-）；摘要未报告放疗或靶向分组,pCASL测定脑血流（CBF）；rs-fMRI计算ALFF与ReHo；以CBF与ALFF/ReHo构建全局与区域神经血管耦合（NVC）指标；摘要未写明层厚/TR等采集细节,目的：阐明化疗后NSCLC患者NVC变化及其与CRCI关系。结果：CT(+)组全局CBF-ALFF与CBF-ReHo相关耦合弱于CT(-)；多脑区CBF:ALFF与CBF:ReHo比值组间差异（FDR校正）；MoCA总分与记忆分与部分区域CBF:ALFF比值负相关；提示化疗相关神经血管解耦与认知表现相关。,MoCA及记忆等认知测查,
1-肺癌脑结构功能,Zhang Y 等 (2020). Brain Imaging Behav,10.1007/s11682-018-0030-y,n=21例化疗后肺癌、27例未化疗肺癌与30名健康对照；年龄性别教育匹配；中国南京；摘要统称肺癌未报告NSCLC与SCLC构成。,化疗后 vs 未化疗 vs 健康对照；摘要未区分放疗或靶向,静息态功能MRI；以后扣带回（PCC）为种子分析默认网络（DMN）功能连接；摘要未报告TR与层厚等序列细节,目的：探讨肺癌患者化疗后DMN内在功能连接改变及其与认知损害关系。结果：化疗组较未化疗组PCC与右ACC、左IPL、左mPFC功能连接降低、与左中央后回连接增高；较对照组亦见PCC与左ACC及左颞叶等FC改变；化疗组PCC至双侧ACC的FC降低与MoCA降低呈正相关；提示DMN功能紊乱可能参与化疗相关认知损害机制。,MoCA,
1-肺癌脑结构功能,Simó M 等 (2025). Neurology,10.1212/WNL.0000000000213651,n=52例SCLC初评（2019–2023前瞻招募）；化疗结束后约1个月复评n=31。人群为SCLC接受规范评估与化疗者。,化疗（基线至化疗结束后复评为主要时间对比）；摘要未将放疗或靶向药列为独立暴露变量,结构MRI；VBM；tract-based白质分析；摘要未报告序列名与层厚,目的：识别SCLC患者CRCI相关生物标志物并观察化疗后变化。结果：基线约31%存在认知损害以执行功能为主；MRI示灰质累及楔前叶与梭状–旁海马区、白质累及扣带回与胼胝体；复评时32%存在CI（7例持续、3例新发chemobrain）；新发与吸烟暴露更高相关，持续CI组诊断时病期更晚比例更高。,神经心理学成套测验；神经元抗体；细胞因子；BDNF；与认知相关的SNV,
2-肺癌原始研究,XiuCen W 等 (2025). Brain Behav,10.1002/brb3.70594,n=338例肺癌患者；2023年7月–2024年7月重庆两所三甲医院呼吸科、肿瘤科与胸外科便利抽样；男性约88.8%、60–69岁约67.2%；以老年肺癌且接受化疗者为分析人群。,化疗相关认知损害为结局语境；摘要未按放疗、靶向或免疫治疗分别定义暴露,未使用神经影像,目的：调查老年肺癌患者化疗相关认知损害的潜在影响因素。结果：FACT-Cog定义下CRCI患病率32.8%；教育程度与血红蛋白为保护因素；退休前职业性质与休闲活动为保护因素；合并焦虑抑郁与重度疲劳为危险因素。,自拟一般与疾病信息问卷；HADS；BFI；PSQI；MMSE；FACT-Cog；血常规（含血红蛋白）,
2-肺癌原始研究,Ho MH 等 (2025). Cancer Nurs,10.1097/NCC.0000000000001530,n=175例新诊断非小细胞肺癌（NSCLC）；另10例完成连续7天、每日两次生态瞬时评估可行性子样本。,非抗肿瘤治疗类型暴露；研究为治疗前或新诊断情境下工具验证与生态评估,未报告脑影像,目的：开发并验证单项移动认知筛查（SIM-Cog）检测CRCI；评价与参考标准一致性、重测信度及生态评估可行性。结果：相对FACT-Cog PCI-18等参考标准AUC约0.928；与焦虑、抑郁、疲劳、睡眠困扰相关；重测信度系数约0.724；受试者对移动调查满意度高。,MoCA香港版5分钟方案；FACT-Cog；焦虑抑郁疲劳疼痛睡眠自评；生态移动调查,
2-肺癌原始研究,Ye L 等 (2025). Support Care Cancer,10.1007/s00520-025-09383-z,n=252例肺癌患者前瞻队列；按7:3随机分为建模集与验证集。癌种摘要统称肺癌未细分NSCLC/SCLC。,模型纳入「治疗」变量（摘要提示联合化疗与CRCI相关）；未在摘要中单独量化放疗或靶向暴露效应,未使用神经影像,目的：在护理精准健康框架下构建预测肺癌患者CRCI的列线图。结果：LASSO筛选后纳入年龄≥65岁、治疗、教育、白蛋白、PLR；训练与验证集ROC-AUC约0.97；校准曲线与DCA显示判别与净获益良好。,血白蛋白；血小板–淋巴细胞比（PLR）；教育程度等临床与实验室协变量,
2-肺癌原始研究,Cheng X 等 (2024). Nutrients,10.3390/nu16234090,n=315例肺癌患者横断面；其中142例采集血液检测氧化应激指标。摘要未区分NSCLC/SCLC或分期细节。,未在摘要中按化疗、放疗或靶向分层；暴露侧为氧化平衡评分与膳食及生活方式因素,未使用神经影像,目的：探讨氧化平衡评分（OBS）与肺癌CRCI的关联及氧化应激标志物的中介作用。结果：CRCI组OBS、膳食OBS及SOD与GPx活性更低；OBS每升1分CRCI风险约降10.6%；维生素E与膳食纤维与CRCI负相关；总OBS与CRCI的关联部分由SOD与GPx中介。,3天24小时膳食回顾；血氧化应激标志物；MoCA,
2-肺癌原始研究,Takemura N 等 (2025). J Cancer Surviv,10.1007/s11764-024-01607-1,父试验随机对照试验中报告有认知损害的亚组：有氧运动组n=49、太极拳组n=48、对照组n=54；对象为晚期肺癌幸存者（合并感知认知损害）。,运动干预（16周太极拳 vs 有氧运动 vs 对照）；摘要未将化疗、放疗或靶向作为主要统计暴露列出,未报告脑影像,目的：比较太极拳与有氧运动对感知认知功能的效果并做症状中介分析。结果：16周及1年随访太极拳组感知认知功能优于有氧运动与对照；12个月时睡眠障碍、疲劳、焦虑、抑郁分别解释干预对认知效应的24%–32%；4个月时焦虑对12个月认知效应有部分中介。,感知认知功能；睡眠、疲劳、焦虑、抑郁量表；三组RCT,
